club_name,races_attended
Ruderclub Neptun Darmstadt e.V.,"['2266', '2910', '4716']"
Duling Training Center,['650']
uddevalla roddklubb,['4271']
New York Rowing Association,"['60', '145', '147', '151', '162', '249', '355', '360', '361', '377', '563', '595', '624', '626', '648', '661', '697', '706', '818', '832', '837', '841', '898', '907', '976', '1027', '1041', '1074', '1088', '1089', '1130', '1131', '1132', '1135', '1142', '1149', '1153', '1158', '1172', '1222', '1235', '1304', '1313', '1364', '1398', '1461', '1462', '1463', '1480', '1490', '1491', '1492', '1506', '1556', '1563', '1576', '1590', '1650', '1667', '1668', '1712', '1830', '1835', '1836', '1871', '1887', '1888', '1917', '2014', '2015', '2057', '2176', '2200', '2248', '2269', '4016', '4017', '4093', '4230', '4328', '4389', '4557', '4590', '4693', '4699', '4920', '4977', '5068', '5078', '5079', '5420', '5421', '5448', '5616', '6051', '6207', '6415', '7213']"
Sport Nautique Compiègnois,['4271']
TC Williams High School,"['47', '107', '145', '182', '281', '439', '500', '623', '755', '947', '984', '1129', '1460', '1709', '1834', '1945', '2068', '2069', '2071', '2072', '2073', '2105', '2138', '2203', '2206', '2718', '2720', '2724', '2726', '2728', '2800', '3101', '3435', '3487', '3555', '3556', '3557', '3559', '3560', '3734', '3735', '3897', '4015', '4054', '4055', '4057', '4058', '4438', '4549', '4577', '4641', '4642', '4644', '4669', '4670', '4896', '4901', '4902', '4903', '4904', '4905', '4906', '4907', '5077', '5081', '5126', '5418', '5511', '5512', '5513', '5514', '5515', '5516', '5517', '5603', '5654', '5893', '6014', '6015', '6016', '6018', '6019', '6280', '6303', '6436', '6701', '7311', '7312', '7314', '7315', '7316', '7317', '7318']"
Palm Beach Atlantic University,"['4615', '5767', '5885']"
Great Marlow School Boat Club,['6142']
Waynflete,"['4554', '5568']"
Tai Po,"['4097', '5376', '6596']"
Feather River Junior Crew,['4492']
Coconut Grove Rowing Club at Ransom Everglades School,"['145', '623', '1129', '2052', '2105', '2193', '2279', '2351', '2435', '2626', '2768', '2972', '3016', '3343', '3493', '3504', '3606']"
Shannon,"['3644', '3937']"
Dresdner Ruderverein,['6228']
UNC,['4716']
Blue and Gray Rowing,"['4699', '4977', '6051']"
Colorado Jr. Crew,"['429', '871', '915', '1200', '1258', '1487', '1877', '1969', '2090', '2103', '2133', '2401', '2421', '2562', '2600', '2934', '3193', '3253', '3267', '3474', '3484', '3561', '3640', '3696', '3722', '3822', '3898', '3905', '4154', '4205', '4206', '4228', '4276', '4358', '4460', '4587', '4592', '4614', '4656', '4699', '4705', '4731', '4792', '4853', '4873', '5020', '5073', '5100', '5101', '5182', '5196', '5348', '5417', '5644', '5710', '5786', '6066', '6141', '6142', '6192', '6195', '6206', '6574', '6824', '7052', '7058', '7190']"
Philadelphia Dragon Boat Association (PDBA),"['909', '1362', '1464']"
Birmingham Rowing Club,"['192', '236', '591', '614', '640', '934', '935', '1192', '1321', '1386', '1884', '2278', '2439']"
HVK Mornar,['6228']
Noank,"['3644', '3937', '6228']"
Stockton University,"['572', '1229', '1434', '1548', '1565', '1737', '1750', '2030', '2143', '2314', '2368', '2417', '2866', '2928', '3054', '3381', '3389', '3391', '3485', '3532', '3627', '3674', '3760', '3801', '3999', '4093', '4152', '4172', '4324', '4363', '4475', '4627', '4659', '4867', '4914', '4979', '5036', '5085', '5381', '5383', '5410', '5481', '5606', '5772', '5946', '5972', '6141', '6169', '6265', '6270', '6350', '6549', '6667', '6763', '7175']"
CrossFit 518,['4449']
TJ Lodní sporty Brno,"['2266', '7090']"
Triad Indoor Rowing Club,"['5304', '5893', '5942', '6113', '6701', '6741']"
Seeclub Arbon,['4716']
Lansdale Catholic High School,"['104', '107', '108', '119', '755', '984']"
Canisius College,"['120', '461', '720', '721', '1085', '1388', '1654', '1754', '1782', '1972', '2322', '2892', '3016', '3329', '3387', '3448', '3617', '3624', '3644', '3667', '3674', '3937', '3957', '4047', '4121', '4148', '4215', '4412', '4627', '4699', '4750', '4887', '4944', '4947', '4977', '4979', '5162', '5410', '5489', '5499', '5629', '5688', '5691', '5726', '5772', '5991', '6051', '6169', '6179', '6265', '6349', '6385', '6390', '6730', '6804']"
ANA Rowing Club,"['2542', '2760', '3014', '3227', '3477', '4004', '4043', '4215', '4686']"
Nottingham High School,['47']
Veslařský klub Smíchov,"['80', '86', '168', '171', '408', '438', '482', '509', '881', '948', '959', '985', '1041', '2266', '5536', '7090']"
Lake Dundee Rowing Center,"['827', '1041', '1074']"
7 ,"['2760', '3014', '4449', '5868', '6228', '6557']"
Friends of Haverford School Rowing,"['2866', '3337']"
Fort Langley Rowing Club,"['1642', '1661', '1711']"
Fermoy Rowing Club,"['4271', '4716']"
OrangeTheory,['6054']
Station L,"['3644', '3937', '4716']"
SKP,['6228']
South Lincoln High School,"['517', '990']"
Team TITLE,['3897']
TBRC,['6676']
TBC Racing,"['1807', '2368', '2578', '2866', '2962', '3016', '3381', '3644', '3658', '3674', '3937', '4093', '4112', '4164', '4215', '4216', '4449', '4584', '4627', '4657', '4693', '4699', '4896', '4977', '5068', '5099', '5112', '5162', '5300', '5317', '5418', '5421', '5616', '5656', '5673', '5684', '5772', '6051', '6141', '6199', '6207', '6265', '6277', '6278', '6415', '6701', '7248', '7249']"
No Drama Fitness,"['5203', '5577', '6238']"
Mildred Ave. K-8,['5096']
MAD Team,"['7180', '7203']"
Sabaudia Circolo Canottieri,['2266']
Maccabi USA,"['4468', '4928']"
Paramount Rowing,"['5288', '5767', '6080']"
Pellissippi Rowing Club,"['3685', '3728', '3763', '3828', '3850']"
DEM,['4716']
Club Náutico Hacoaj,['4271']
Shaker Rowing Association/High School,"['11', '22', '26', '74', '75', '76', '117', '125', '126', '145', '164', '165', '177', '205', '225', '233', '249', '281', '292', '302', '331', '332', '383', '392', '393', '396', '442', '455', '495', '563', '623', '626', '661', '689', '697', '708', '714', '793', '816', '841', '901', '947', '969', '984', '986', '1027', '1129', '1135', '1226', '1248', '1249', '1250', '1263', '1460', '1482', '1492', '1502', '1533', '1604', '1648', '1823', '1834', '1871', '1887', '1888', '1931', '1933', '1945', '1972', '1974', '1978', '1998', '2164', '2167', '2168', '2203', '2206', '2228', '2366', '2407', '2410', '2644', '2646', '2800', '2922', '2962', '2978', '3101', '3137', '3139', '3327', '3329', '3487', '3592', '3654', '3675', '3676', '3677', '3678', '3680', '3681', '3702', '3734', '3735', '3738', '3886', '3954', '4015', '4064', '4065', '4066', '4067', '4165', '4215', '4219', '4220', '4297', '4449', '4479', '4534', '4549', '4577', '4699', '4719', '4830', '4913', '4977', '5077', '5126', '5312', '5418', '5525', '5642', '5656', '5693', '5706', '5862', '6051', '6089', '6141', '6280', '6302', '6325', '6526', '6887', '6941', '7272']"
M Rowing,"['248', '459', '579', '775', '835', '999', '1057', '1372', '1610']"
Reza Test RC,['872']
Brunswick School Boat Club Alumni,['4449']
"Sharon, MA","['3016', '4215', '4699']"
Horsham City Rowing Club,['2542']
Uozaki Rowing Club,"['2266', '5536']"
Rowing Canada Aviron 2,['4622']
Grand Masters Dragon Boat Club,['2758']
"Dallas United Crew, Inc.","['2285', '2411', '2468', '2590', '2632', '2634', '2808', '2934', '2938', '3107', '3118', '3181', '3261', '3395', '3484', '3502', '3562', '3648', '3658', '3776', '3828', '3846', '3880', '3885', '3904', '3905', '4095', '4109', '4112', '4128', '4196', '4215', '4345', '4350', '4361', '4449', '4507', '4514', '4518', '4519', '4584', '4587', '4592', '4673', '4699', '4792', '4799', '4809', '4883', '4958', '4959', '4977', '5020', '5073', '5099', '5100', '5101', '5122', '5294', '5329', '5379', '5438', '5482', '5483', '5519', '5520', '5613', '5644', '5656', '5671', '5713', '5863', '5875', '5946', '5961', '5972', '5985', '6051', '6060', '6118', '6126', '6127', '6128', '6141', '6187', '6192', '6196', '6200', '6206', '6207', '6309', '6335', '6386', '6387', '6415', '6471', '6583', '6611', '6634', '6719', '6880', '6881', '6934', '7052', '7245']"
CrossFit Colosseum,"['4474', '4998', '5203']"
Trinity Hall,"['5349', '6088']"
Springside School,"['106', '107', '108', '111', '113', '121', '122', '123', '145', '261', '275', '276', '277', '278', '279', '281', '284', '285', '363', '399', '500', '513', '565', '623', '679', '681', '682', '683', '684', '686', '687', '688', '740', '755', '862', '863', '864', '865', '866', '867', '868', '869', '984', '1122', '1123', '1124', '1125', '1126', '1127', '1128', '1129', '1460', '1521', '1522', '1523', '1524', '1525', '1526', '1527', '1789', '1819', '1823', '1834', '1847', '1848', '1849', '1850', '1851', '1852', '1945', '2176', '2203', '2204', '2205', '2206', '2214', '2215', '2216', '2217', '2269', '2368', '2425']"
Minero´s Team,"['4449', '5300', '6039']"
Westinghouse Rowing Club,"['1807', '2153', '2756', '7335']"
Grand Valley State University Alumni,"['3016', '4232', '4699']"
Olympos Wuerzburg,"['4716', '6228']"
Centre County Community College Crew Club,['510']
Unaffiliated (ESA),['4216']
A Pop Shoppe Training Center,"['5076', '5321', '5626', '5656', '6287', '6450', '7334']"
Aviron Sétois,['6676']
S&M Rowing,"['4826', '4977', '5105', '5117', '5329', '5371', '5415', '5527', '5536', '5656', '5784', '5786', '5820', '5875', '5885', '5962', '6051', '6060', '6080', '6141', '6198', '6304']"
Lake Havasu City Outrigger Canoe Club,"['3866', '4376', '4848']"
Choo Choo Crew,['4937']
Souhegan Crew Club,"['2896', '2898', '2900', '2902', '2904', '2906', '2914', '3008', '3538', '3589', '3590', '4083', '4156', '4215', '4343', '4449', '4486', '4513', '4552', '4553', '4554', '4555', '4977', '5082', '5103', '5146', '5625', '5929', '6051', '6229']"
Welland Centennial Secondary School,"['62', '517', '990', '1129', '2138', '2203', '2213', '2330', '2994', '3028', '3705', '3971', '4225', '4462', '4726', '4945', '5077', '5081', '5086', '5142', '5418', '5603', '5812', '5830', '6280', '6433', '6436', '6443', '6500']"
Mongolian Rowing Association,['3016']
South Buffalo Rowing Club,['4999']
Cincinnati Country Day School Rowing Team,"['39', '84', '114', '206', '215', '218', '230', '233', '250', '258', '260', '261', '263', '271', '302', '311', '359', '360', '365', '381', '427', '439', '492', '520', '525', '533', '538', '560', '577', '589', '643', '662', '708', '709', '715', '717', '760', '761', '765', '814', '836', '848', '872', '877', '955', '975', '1070', '1113', '1148', '1149', '1178', '1448', '1462', '1502', '1505', '1515', '1530', '1568', '1776', '1810', '1823', '1844', '1945', '2045', '2086', '2111', '2142', '2206', '2234', '2239', '2240', '2272', '2336', '2337', '2520', '2556', '2606', '2610', '2676', '2816', '2924', '2956', '3016', '3062', '3101', '3261', '3397', '3407', '3437', '3458', '3473', '3489', '3510', '3567', '3644', '3681', '3701', '3734', '3735', '3792', '3838', '3839', '3862', '3869', '3937', '4005', '4288', '4503', '4504', '4801', '4950', '4951', '5092', '5377', '5378', '5430', '5654', '5975', '6097', '6109', '6750', '7030', '7144', '7201']"
Maple Bay,"['3644', '3937', '6228']"
Zone 5 Vancouver-Coastal,['5873']
Endeavour Rowing Club,"['2810', '3227', '4004', '4043', '4511', '4686']"
Bare Cove Boat Club,['6142']
Weybridge,"['2910', '4271', '4699']"
Queen City Water Sports Center,"['2538', '3062', '3211', '3261', '3945', '4112', '4288', '4345', '4450', '4504', '4584', '4755', '4787', '4800', '4801', '4809', '4931', '4950', '4999', '5092', '5099', '5329', '5345', '5377', '5428', '5430', '5597', '5616', '5780', '5854', '5875', '6060', '6097', '6108', '6109', '6196', '6199', '6230', '6304', '6446', '6457', '6800', '7110', '7122', '7144', '7201', '7203']"
